sample_id,gt_id,pred_id,label,norm_edit_distance,similarity,exact_match,gt_text,pred_text,bleu,meteor
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,7,p0001_b0002,text,0.058823529411764705,0.9411764705882353,0,"Gotu kola. kava kava, St. John's wort, valerian may increase CNS depression. FOOD: None known. LAB VALUES: May decrease total free thyroxine ( $\mathrm{T}_{4}$ ) serum levels.May increase serum cholesterol, triglycerides, ALT, AST, WBC GGT.May produce false-positive pregnancy testre sult.","Gotu kola, kava kava, St. John's wort, valerian may increase CNS depression. FOOD: None known. LAB VALUES: May decrease total free thyroxine ( $ T_{4} $) serum levels. May increase serum cholesterol, triglycerides, ALT, AST, WBC, GGT. May produce false-positive pregnancy test result.",0.6192209926146077,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,16,p0001_b0004,text,0.037037037037037035,0.962962962962963,0,"Tablets: 25 mg, 50 mg, 100 mg, 200 mg, 300mg, 400mg.","Tablets: 25 mg, 50 mg, 100 mg, 200 mg, 300 mg, 400 mg.",0.6479121525090147,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,6,p0001_b0005,text,0.015384615384615385,0.9846153846153847,0,"Tablets, Extended-Release: 50 mg, 150 mg, 200 mg, 300 mg, 400 mg","Tablets, Extended-Release: 50 mg, 150 mg, 200 mg, 300 mg, 400 mg.",0.9036020036098448,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,17,p0001_b0007,text,0.013392857142857142,0.9866071428571429,0,"- Give immediate-release tablets without regard to food. - Do not break, crush, dissolve, or divide extended-release tablets. - Extended-release tablets should be given without regard to food or with a light meal in evening.","• Give immediate-release tablets without regard to food. • Do not break, crush, dissolve, or divide extended-release tablets. • Extended-release tablets should be given without regard to food or with a light meal in evening.",0.8151913639513584,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,8,p0001_b0009,text,0.008287292817679558,0.9917127071823204,0,"Note: - When restarting pts who have been off QUEtiapine for less than 1 wk, titration is not required and maintenance dose can be reinstituted. - When restarting pts who have been off QUEtiapine for longer than 1 wk, follow initial titration schedule. - When discontinuing, gradual tapering recommen","Note: • When restarting pts who have been off QUEtiapine for less than 1 wk, titration is not required and maintenance dose can be reinstituted. • When restarting pts who have been off QUEtiapine for longer than 1 wk, follow initial titration schedule. • When discontinuing, gradual tapering recommen",0.8782805451069394,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,19,p0001_b0011,text,0.4885114885114885,0.5114885114885115,0,"PO: (mmediate-Release): ApuLTS ELDERLY: Initially, 25 mg twice daily then increase in 25-50-mg increments divided 2-3 times/day on the second and third days,up to 300-400 mg/day in 2-3 divided doses by the fourth day. Further adjustments of 25-50 mg twice daily may be made at intervals of 2 days or ","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 25 mg twice daily, then increase in 25–50 mg increments divided 2–3 times/day on the second and third days, up to 300–400 mg/day in 2–3 divided doses by the fourth day. Further adjustments of 25–50 mg twice daily may be made at intervals of 2 days",0.26135677032645266,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,11,p0001_b0012,text,1.0,0.0,0,"13 YRS AND OLDER: Initially, 25 mg twice daily on day 1, 50 mg twice daily on day 2,then increase by 100 mg/day to target dose of 400 mg twice daily on day 5.May further increase to 800 mg day in increments of 100 mg or less daily. Range: 400-800 mg/day. Maximum: 800 mg . Total dose in 3 divided dos",,,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,p0001_b0014,text,0.018018018018018018,0.9819819819819819,0,"PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg twice daily for 1 day. May increase in increments of 100 mg/day to 200 mg twice daily on day 4. May further increase in increments of 200 mg/day to 800 mg/day on day 6. Range: 400-800 mg/day (ExtendedRelease): Initially, 300 mg on day 1 in t","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg twice daily for 1 day. May increase in increments of 100 mg/day to 200 mg twice daily on day 4. May further increase in increments of 200 mg/day to 800 mg/day on day 6. Range: 400–800 mg/day. (Extended-Release): Initially, 300 mg on day 1 in",0.8430283098848357,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,9,p0001_b0016,text,0.006802721088435374,0.9931972789115646,0,"PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg/day on day 1, increase to 100 mg/day on day 2, then increase by 100 mg/day up to target dose of 300 mg/day. (Extended-Release): Initially, 50 mg on day 1 in the evening, 100 mg on day 2, 200 mg on day3, 300 mg onday 4 and thereafter.","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg/day on day 1, increase to 100 mg/day on day 2, then increase by 100 mg/day up to target dose of 300 mg/day. (Extended-Release): Initially, 50 mg on day 1 in the evening, 100 mg on day 2, 200 mg on day 3, 300 mg on day 4 and thereafter.",0.8745756801235527,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,15,p0001_b0018,text,0.022222222222222223,0.9777777777777777,0,"PO: ADULTS, ELDERLY: (ExtendedRelease): Initially, 50 mg on days1 and 2; then 150 mg on days 3 and 4; then 150-300 mg/day thereafter.","PO: ADULTS, ELDERLY: (Extended-Release): Initially, 50 mg on days 1 and 2; then 150 mg on days 3 and 4; then 150–300 mg/day thereafter.",0.6067337731525329,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,3,p0001_b0003,title,0.0,1.0,1,AVAILABILITY (Rx),AVAILABILITY (Rx),0.316227766016838,0.9375
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,18,p0001_b0008,title,0.0,1.0,1,INDICATIONS/ROUTES/DOSAGE,INDICATIONS/ROUTES/DOSAGE,0.1778279410038923,0.5
docstructbench_enbook-zlib-o.O-22206811.pdf_5,15,p0001_b0002,text,0.0,1.0,1,"There's nothing more dangerous than a familiar face... As funeral mourners stand in silence at Ragmullin cemetery, a deafening cry cuts through the air. Lying crumpled at the bottom of an open grave is the bloodied body of a young woman, and Detective Lottie Parker is called in to investi... Read Mo","There's nothing more dangerous than a familiar face... As funeral mourners stand in silence at Ragmullin cemetery, a deafening cry cuts through the air. Lying crumpled at the bottom of an open grave is the bloodied body of a young woman, and Detective Lottie Parker is called in to investi... Read Mo",1.0,0.9999964440145653
docstructbench_enbook-zlib-o.O-22206811.pdf_5,6,p0001_b0005,text,0.0031645569620253164,0.9968354430379747,0,"In a spellbinding new masterpiece by #1 New York Times bestselling author Daniel Silva, Gabriel Allon undertakes a high-stakes search for the greatest art forger who ever lived Legendary spy and art restorer Gabriel Allon has at long last severed ties with Israeli intelligence and settled quietly in","In a spellbinding new masterpiece by #1 New York Times bestselling author Daniel Silva, Gabriel Allon undertakes a high-stakes search for the greatest art forger who ever lived Legendary spy and art restorer Gabriel Allon has at long last severed ties with Israeli intelligence and settled quietly in",0.9793703613355592,
docstructbench_enbook-zlib-o.O-22206811.pdf_5,13,p0001_b0008,text,0.0031645569620253164,0.9968354430379747,0,"A cryptic murder pulls a former soldier turned financial analyst deep into the corruption and menace that prowl beneath the opulent world of finance, in this #1 New York Times bestselling thriller from David Baldacci. Every day without fail, Travis Devine puts on a cheap suit, grabs his faux-leather","A cryptic murder pulls a former soldier turned financial analyst deep into the corruption and menace that prowl beneath the opulent world of finance, in this #1 New York Times bestselling thriller from David Baldacci. Every day without fail, Travis Devine puts on a cheap suit, grabs his faux-leather",0.9797875586021996,
docstructbench_enbook-zlib-o.O-22206811.pdf_5,7,p0001_b0011,text,0.022508038585209004,0.977491961414791,0,"In this ""brave and heartbreaking novel that digs its claws into you and doesn't let go, long after you've finished it"" (Anna Todd, New York Times bestselling author) from the #1 New York Times bestselling author of All Your Perfects , a workaholic with a too-goodto-be-true romance can't stop th... R","In this “brave and heartbreaking novel that digs its claws into you and doesn’t let go, long after you’ve finished it” (Anna Todd, New York Times bestselling author) from the #1 New York Times bestselling author of All Your Perfects, a workaholic with a too-good-to-be-true romance can’t stop th... R",0.6541753231739766,
docstructbench_enbook-zlib-o.O-22206811.pdf_5,11,p0001_b0014,text,0.0165016501650165,0.9834983498349835,0,"Stoirm Island's secrets are worth killing for in this immersive, unrelenting thriller for readers of All the Missing Girls and Neon Prey -""this crime novel has it all"" ( Publishers Weekly,starred review). When reporter Rebecca Connolly gets a tip that suspected murderer Roddie Drummond ... Read More","Stoirm Island’s secrets are worth killing for in this immersive, unrelenting thriller for readers of All the Missing Girls and Neon Prey —""this crime novel has it all"" (Publishers Weekly, starred review). When reporter Rebecca Connolly gets a tip that suspected murderer Roddie Drummond ... Read More",0.7817651889908793,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,2,p0001_b0002,text,0.03482587064676617,0.9651741293532339,0,"[3] Y.C.Yang,E. Chang,S.Y. Lee, Mechanical properties and Young's modulus of plasma-sprayed hydroxyapatite coating on Ti substrate in simulated body fluid, J.Biomed.Mater. Res.67A (2003) 886-889.","[3] Y.C. Yang, E. Chang, S.Y. Lee, Mechanical properties and Young's modulus of plasma-sprayed hydroxyapatite coating on Ti substrate in simulated body fluid, J. Biomed. Mater. Res. 67A (2003) 886–889.",0.558165459068735,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,4,p0001_b0003,text,0.02830188679245283,0.9716981132075472,0,"[4] B.C. Wang, T.M.Lee, E. Chang,C.Y.Yang, The shear strength and the failure mode of plasma sprayed hydroxyapatite coating to bone: the effect of coating thickness, J.Biomed.Mater. Res. 27 (1993) 1315-1327.","[4] B.C. Wang, T.M. Lee, E. Chang, C.Y. Yang, The shear strength and the failure mode of plasma sprayed hydroxyapatite coating to bone: the effect of coating thickness, J. Biomed. Mater. Res. 27 (1993) 1315–1327.",0.6099084961389527,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,3,p0001_b0004,text,0.005235602094240838,0.9947643979057592,0,"[5] Y.C. Tsui, C. Doyle, T.W. Clyne, Plasma sprayed hydroxyapatite coatings on titanium substrates: Part 1. Mechanical properties and residual stress levels, Biomaterials 19 (1998) 2015-2029.","[5] Y.C. Tsui, C. Doyle, T.W. Clyne, Plasma sprayed hydroxyapatite coatings on titanium substrates: Part 1. Mechanical properties and residual stress levels, Biomaterials 19 (1998) 2015–2029.",0.9590965597935381,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,9,p0001_b0005,text,0.15625,0.84375,0,"[6] N. Claussen, Fracture toughness of $ \mathrm{A l_{2} O_{3}} $ with an unstabilized $ \mathrm{Z r O}_{2} $ dispersed phase, J.Am. Ceram. Soc.59 (1976) 49-51.","[6] N. Claussen, Fracture toughness of $ Al_{2}O_{3} $ with an unstabilized $ ZrO_{2} $ dispersed phase, J. Am. Ceram. Soc. 59 (1976) 49–51.",0.41943967835127605,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,7,p0001_b0006,text,0.22424242424242424,0.7757575757575758,0,"[7] D.J. Green, Critical microstructures for microcracking in $ \mathrm{A l}_{2} \mathrm{O}_{3} / \mathrm{Z r O}_{2} $ composites, J.Am.Ceram.Soc. 65 (1982) 610-614.","[7] D.J. Green, Critical microstructures for microcracking in $ Al_{2}O_{3}/ZrO_{2} $ composites, J. Am. Ceram. Soc. 65 (1982) 610–614.",0.42031665113386973,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,8,p0001_b0007,text,0.007246376811594203,0.9927536231884058,0,"[8] M. Ruhle, A.G. Evans, R.M. Mcmeeking, P.G. Charalambides, Microcrack toughening in alumina/zirconia, Acta Metall. 35 (1987) 2701-2710.","[8] M. Ruhle, A.G. Evans, R.M. Mcmeeking, P.G. Charalambides, Microcrack toughening in alumina/zirconia, Acta Metall. 35 (1987) 2701–2710.",0.9391044157537525,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,5,p0001_b0008,text,0.07526881720430108,0.9247311827956989,0,"[9] B.Y.Chou, E.Chang,S. Y. Yao, J.M.Chen,Phase transformation during plasma spraying of hydroxyapatite- 10 wt.% - zirconia composite coating, J.Am. Ceram. Soc. 85 (3) (2002) 661-669.","[9] B.Y. Chou, E. Chang, S.Y. Yao, J.M. Chen, Phase transformation during plasma spraying of hydroxyapatite–10 wt.\%–zirconia composite coating, J. Am. Ceram. Soc. 85 (3) (2002) 661–669.",0.29108736587772466,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,15,p0001_b0009,text,0.005208333333333333,0.9947916666666666,0,"[10] T. Kasuga, K. Nakajima, T. Uno, M. Yoshida, Preparation of zirconia toughened bioactive glass/ceramic composite by sinter hot isostatic pressing, J. Am. Ceram. Soc. 75 (5) (1992) 113-117.","[10] T. Kasuga, K. Nakajima, T. Uno, M. Yoshida, Preparation of zirconia toughened bioactive glass/ceramic composite by sinter hot isostatic pressing, J. Am. Ceram. Soc. 75 (5) (1992) 113–117.",0.9635749534339606,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,14,p0001_b0010,text,0.011049723756906077,0.988950276243094,0,"[11] T. Kasuga, M. Yoshda, A.J. Ikushima, M. Tuchiya, H. Kusakari, Stability of zirconia-toughened bioactive glass/ceramics: in vivo study using dogs, J.Mater. Sci. 4 (1993) 36-39.","[11] T. Kasuga, M. Yoshda, A.J. Ikushima, M. Tuchiya, H. Kusakari, Stability of zirconia-toughened bioactive glass/ceramics: in vivo study using dogs, J. Mater. Sci. 4 (1993) 36–39.",0.8196189957582152,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,6,p0001_b0011,text,0.042735042735042736,0.9572649572649573,0,"[12] J.M. Wu, T.S.Yeh, Sintering of hydroxyapatite/zirconia composite materials, J.Mater.Sci.23 (1988) 3771-3777.","[12] J.M. Wu, T.S. Yeh, Sintering of hydroxyapatite/zirconia composite materials, J. Mater. Sci. 23 (1988) 3771–3777.",0.31535540524901323,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,16,p0001_b0012,text,0.005494505494505495,0.9945054945054945,0,"[13] K. Ioku, S. Somiya, M. Yoshimura, Hydroxyapatite ceramics with tetragonal zirconia particles dispersion prepared by HIP postsintering, J. Jpn. Ceram. Soc. 99 (3) (1991) 196-203.","[13] K. Ioku, S. Somiya, M. Yoshimura, Hydroxyapatite ceramics with tetragonal zirconia particles dispersion prepared by HIP postsintering, J. Jpn. Ceram. Soc. 99 (3) (1991) 196–203.",0.9590965597935381,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,10,p0001_b0013,text,0.0,1.0,1,"[14] N. Tamari, M. Mouri, I. Kondo, Mechanical properties and existing phases of composite ceramics obtained by sintering of a mixture of","[14] N. Tamari, M. Mouri, I. Kondo, Mechanical properties and existing phases of composite ceramics obtained by sintering of a mixture of",1.0,0.9999530428249437
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,1,p0001_b0014,text,0.014084507042253521,0.9859154929577465,0,"hydroxyapatite and zirconia, J. Jpn. Ceram. Soc. 95 (8) (1987) 806-809.","hydroxyapatite and zirconia, J. Jpn. Ceram. Soc. 95 (8) (1987) 806–809.",0.8931539818068694,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,13,p0001_b0015,text,0.020202020202020204,0.9797979797979798,0,"[15] S.F. Hulbert, in: L.L. Hench, J. Wilson (Eds.), The Use of Alumina and Zirconia in Surgical Implants: An Introduction to Bioceramics, Word Scientific Publishing Co.,Singapore,1993,pp. 25-40.","[15] S.F. Hulbert, in: L.L. Hench, J. Wilson (Eds.), The Use of Alumina and Zirconia in Surgical Implants: An Introduction to Bioceramics, Word Scientific Publishing Co., Singapore, 1993, pp. 25–40.",0.8242618125755508,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,19,p0001_b0016,text,0.025,0.975,0,"[16] H. Lang,T.H.Mertens, The use of human osteoblast like cells as an in vitro test system for dental materials, J. Oral Maxillofac. Surg.48 (1990) 606-611.","[16] H. Lang, T.H. Mertens, The use of human osteoblast like cells as an in vitro test system for dental materials, J. Oral Maxillofac. Surg. 48 (1990) 606–611.",0.6935495725727032,
